"Common/ButtonExit","ZAVŘÍT"
"Menu/Options/Graphics/ShadowDetails","Detaily stínů"
"Menu/Options/Graphics/AntiAliasing","Vyhlazování"
"Menu/Options/Graphics/FXAA","FXAA"
"Menu/Options/Graphics/RenderTrees","Zobrazení stromů"
"Menu/Options/Graphics/RenderDecorators","Zobrazení dekorací_"
"Menu/Options/Graphics/Anisotropic","Anisotropní"
"Menu/Options/Graphics/Water","Voda"
"Menu/Options/Graphics/PortFPS","FPS v přístavu"
"Menu/Options/Graphics/BattleFPS","FPS v bitvě"
"Menu/Options/Graphics/OpenWorldFPS","FPS v otevřeném světě"
"Menu/Options/Graphics/Lights","Světla"
"Menu/Options/Graphics/Textures","Textury"
"Menu/Options/Graphics/LOD","Úroveň detailu"
"Menu/Options/Graphics/Mesh","Mesh"
"Menu/Options/Graphics/Terrain","Terén"
"Menu/Options/Graphics/FireZoneVisual","Grafika_ palebné zóny"
"Menu/Options/Graphics/FireZoneVisual/Geometry","Geometrie"
"Menu/Options/Graphics/FireZoneVisual/Projected","Projekce_"
"Menu/Options/Graphics/TransparentSails","Průhledné plachty"
"Menu/Options/Graphics/ColorBlindMode","Režim pro barvoslepé"
"Menu/Options/Graphics/Reflection","Odrazy"
"Menu/Options/Graphics/ReflectionCulling","Zobrazení_ odrazů"
"Menu/Options/Sound/Title","Zvuk"
"Menu/Options/Sound/General","Celková hlasitost"
"Menu/Options/Sound/Ocean","Zvuky moře"
"Menu/Options/Sound/Cannon","Zvuky děl"
"Menu/Options/Sound/Crew","Zvuky posádky"
"Menu/Options/Sound/Ship","Zvuky lodi"
"Menu/Options/Sound/Whistle","Zvuky píšťalky"
"Menu/Options/Sound/Coast","Zvuky pobřeží"
"Menu/Options/Sound/DefaultButton","Základní"
"Menu/Options/Controls/YouHaveUnassignedControls","Máte nepřiřazené ovládací prvky"
"Menu/ExitDialog/Message","Opravdu chcete odejít?"
"Menu/SurrenderDialog/Message","Opravdu se chcete vzdát?"
"Menu/LeaveDialog/Message","Opravdu chcete opustit bitvu?"
"Menu/Options/Controls/Group/Common","Společné_"
"Menu/Options/Controls/Group/Instance","Bitva"
"Menu/Options/Controls/Group/Open World","Otevřený svět"
"Menu/Options/Controls/Group/Port","Přístav"
"Menu/Options/Controls/KeyIsReserved","Klíč je již používán"
"Menu/Options/Controls/Control/Left","Doleva"
"Menu/Options/Controls/Control/Right","Doprava"
"Menu/Options/Controls/Control/Sail Up","Plachty přidat_"
"Menu/Options/Controls/Control/Sail Down","Plachty ubrat_"
"Menu/Options/Controls/Control/Crew Brace","Příprava_ posádky"
"Menu/Options/Controls/Control/Depower Sails","Snížit výkon_ plachet"
"Menu/Options/Controls/Control/Open World Fishing","Rybaření"
"Menu/Options/Controls/Control/Open World Chat","Chat"
"Menu/Options/Controls/Control/Open World Map","Mapa"
"Menu/Options/Controls/Control/Open World Fleet","Flotila"
"Menu/Options/Controls/Control/Open World Hold","Nákladový prostor"
"Menu/Options/Controls/Control/Port Navy","Námořnictvo"
"Menu/Options/Controls/Control/Port Warehouse","Skladiště"
"Menu/Options/Controls/Control/Port Shop","Obchod"
"Menu/Options/Controls/Control/Port Auction","Aukce lodí"
"Menu/Options/Controls/Control/Port Repair","Opravit hlavní loď"
"Menu/Options/Controls/Control/Port Admiralty","Admiralta"
"Menu/Options/Controls/Control/Port Craft","Stavba"
"Menu/Options/Controls/Control/Port Quests","Úkoly"
"Menu/Options/Controls/Control/Port Equipment","Vybavení"
"Menu/Options/Controls/Control/Port Crew","Posádka"
"Menu/Options/Controls/Control/Port Hold","Nákladový prostor"
"Menu/Options/Controls/Control/Port Reward","Odměny"
"Menu/Options/Controls/Control/Port Leaderboard","Žebříček"
"Menu/Options/Controls/Control/Port Chest","Vylepšení"
"Menu/Options/Controls/Control/Port Redeemables","Výplata"
"Menu/Options/Controls/Control/Port Flags","Vlajky"
"Menu/Options/Controls/Control/Port Perks","Perky_"
"Menu/Options/Controls/Control/Port Outposts","Základny"
"Menu/Options/Controls/Control/Port Clan Warehouse","Klanové skladiště"
"Menu/Options/Controls/Control/Shotlogger","Logování výstřelů_"
"Menu/Options/Controls/Control/Autoskipper","Automatické plachty_"
"Menu/Options/Controls/Control/Battle Sails","Bojové plachty"
"Menu/Options/Controls/Control/Forward Mast To Left","Přední ráhna doleva"
"Menu/Options/Controls/Control/Forward Mast To Right","Přední ráhna doprava"
"Menu/Options/Controls/Control/Rear Mast To Left","Zadní ráhna doleva"
"Menu/Options/Controls/Control/Rear Mast To Right","Zadní ráhna doprava"
"Menu/Options/Controls/Control/Aiming","Zaměřování"
"Menu/Options/Controls/Control/Move camera when aiming","Povolit používat kameru při zaměřování"
"Menu/Options/Controls/Control/Fire","Vystřelit"
"Menu/Options/Controls/Control/Single shot","Jednotlivý výstřel"
"Menu/Options/Controls/Control/Full broadside left","Plná salva levá"
"Menu/Options/Controls/Control/Full broadside right","Plná salva pravá"
"Menu/Options/Controls/Control/Deck1 Unlock/Lock","Paluba1 odemknout/zamknout"
"Menu/Options/Controls/Control/Deck2 Unlock/Lock","Paluba2 odemknout/zamknout"
"Menu/Options/Controls/Control/Deck3 Unlock/Lock","Paluba3 odemknout/zamknout"
"Menu/Options/Controls/Control/Deck4 Unlock/Lock","Paluba4 odemknout/zamknout"
"Menu/Options/Controls/Control/Stop reloading","Přestat nabíjet"
"Menu/Options/Controls/Control/Mortar mode","Režim moždíře"
"Menu/Options/Controls/Control/Cancel Control","Zrušení kontroly_"
"Menu/Options/Controls/Control/Call Reinforcement","Zavolat posily"
"Menu/Options/Controls/Control/Bug report","Nahlásit bug"
"Menu/Options/Controls/Control/Spyglass","Dalekohled"
"Menu/Options/Controls/Control/Board enemy","Obsadit nepřítele"
"Menu/Options/Controls/Control/Assign Crew","Přidělit posádku"
"Menu/Options/Controls/Control/Change fire mode","Změna režimu střelby"
"Menu/Options/Controls/Control/Lock sector","Uzamknout sektor_"
"Menu/Options/Controls/Control/Free camera","Volná kamera"
"Menu/Options/Controls/Control/Screenshot","Snímek obrazovky"
"Menu/Options/Controls/Control/HD Screenshot","HD snímek obrazovky"
"Menu/Options/Controls/Control/Bell","Zvon"
"Menu/Options/Controls/Control/Hide UI","Skrýt uživatelské rozhraní"
"Menu/Options/Controls/Control/Menu","Menu"
"ButtonsPanel/OW Tow To Port/Title","Odtáhnout do přístavu"
"ButtonsPanel/OW Tow To Port/BulletPoints","Odtažení do přístavu
Vaše loď bude přesunuta do nejbližšího hlubokého přístavu
Pro zrušení odtahu klikněte na tlačítko s ř´červeným křížkem"
"ButtonsPanel/OW Open World Fishing/Title","Rybaření"
"ButtonsPanel/OW Open World Fishing/BulletPoints","Začít nebo přestat rybařit
**Caught fish will be sent to ship hold
You can also catch sealed bottles leading to treasure
Hold weight will affect your speed
You can't catch anything in the Capital Waters
Fishing will stop if your ship does not have free slots in hold"
"ButtonsPanel/OW Open World Chat/Title","Hospoda"
"ButtonsPanel/OW Open World Chat/BulletPoints","Chatovat s hráči 
Spravovat klan
Poslat zprávu"
"ButtonsPanel/OW Open World Map/Title","Mapa"
"ButtonsPanel/OW Open World Map/BulletPoints","Mapa otevřeného světa
Události, mise a vraky"
"ButtonsPanel/OW Open World Fleet/Title","Flotila"
"ButtonsPanel/OW Open World Fleet/BulletPoints","Informace o hráči a flotile
Spravovat flotilu
Opravit lodě
Doplnit posádku
Zobrazit kapitánovu truhlu a odměny"
"ButtonsPanel/OW Open World Hold/Title","Nákladový prostor"
"ButtonsPanel/OW Open World Hold/BulletPoints","Zorganizovat náklad
Zkontrolovat nákladový prostor
Vyhodit náklad (Kliknutí pravým)"
"ButtonsPanel/OW Open World Compass/Title","Kompas"
"ButtonsPanel/OW Bug Report/Title","Nahlásit bug"
"ButtonsPanel/OW Bug Report/BulletPoints","Nahlásit problémy s hrou a bugy"
"ButtonsPanel/OW Flag_C/Title","Oblast hlavního města"
"ButtonsPanel/OW Flag_C/BulletPoints","Nemůžete s stát terčem útoku nepřátelského hráče
Nikdo není vtažen do bitvy při útoku
Nemůžete zavolat posily
Bitva je vždy otevřená
Způsob vstoupení do bitvy: poziční"
"ButtonsPanel/OW Flag_C_Red/Title","Oblast hlavního města (nepřátelé)"
"ButtonsPanel/OW Flag_C_Red/BulletPoints","**You can’t attack capital area Nation
You can be attacked by everyone
You can’t call Reinforcement
Battle is always open for entry
Battle join type: positional"
"ButtonsPanel/OW Flag_R/Title","Oblast s posilami"
"ButtonsPanel/OW Flag_R/BulletPoints","**You can attack and be attacked by everyone
Nobody is pulled into battle during attack
Reinforcement allowed only for our side
Battle is always open for entry
Battle join type: positional"
"ButtonsPanel/OW Flag_R_Red/Title","Oblast s posilami (nepřátelé)"
"ButtonsPanel/OW Flag_R_Red/BulletPoints","**You can attack and be attacked by everyone
Nobody is pulled into battle during attack
You can’t call Reinforcement
Battle is open for 2 minutes for your side
Battle join type: positional"
"ButtonsPanel/OW Flag_P/Title","Oblast hlídek"
"ButtonsPanel/OW Flag_P/BulletPoints","**Fleet NPCs do not join the battle
All players can join the battle
Battle join type: 2 circles
Battle is open for - 25 minutes
Battle closes once battle rating limit is reached
Sailing outside the battle circle will damage your ship
Leave Battle is possible after 25 minutes of combat"
"ButtonsPanel/OW Timer_IN/Title","Odpočítávadlo neviditelnosti"
"ButtonsPanel/OW Timer_IN/BulletPoints","Rychlost lodi na otevřeném moři je znatelně vyšší"
"ButtonsPanel/OW Timer_IN/TextLines","Jste neviditelní pro všechno ostatní"
"ButtonsPanel/OW Timer_AT/Title","Odpočítávadlo možnosti útoku"
"ButtonsPanel/OW Timer_AT/BulletPoints","Během této doby nebudete vtažen do bitvy"
"ButtonsPanel/OW Timer_AT/TextLines","Nemůžete zaútočit nebo se stát obětí útoku po"
"ButtonsPanel/OW Timer_J/Title","Odpočítávadlo připojení se k bitvě"
"ButtonsPanel/OW Timer_J/TextLines","Nemůžete se připojit do bitvy nebo využívat události po"
"ButtonsPanel/OW Timer_PB/Title","Odpočítávadlo bitev o přístav"
"ButtonsPanel/OW Timer_PB/TextLines","Nemůžete se zúčastnit bitev o přístav po"
"ButtonsPanel/OW Timer_RA/Title","Odpočítávadlo opakovaného útoku"
"ButtonsPanel/OW Timer_RA/TextLines","Nemůžete zaútočit na nikoho po"
"ButtonsPanel/OW Timer_X/Title","Označení nedávného potopení"
"ButtonsPanel/OW Timer_X/TextLines","Potopení vaší lodi nedá žádné odměny po"
"ButtonsPanel/OW Fleet_Condition/Title","Status flotily"
"ButtonsPanel/OW Fleet_Condition/DualStatsCaption","Pancíř"
"ButtonsPanel/OW Fleet_ShipElementEmptyAvailable/Title","Zbývající místa pro lodi"
"ButtonsPanel/OW Fleet_ShipElementEmptyAvailable/BulletPoints","Toto místo pro loď je volné
Můžete přidat loď do flotily"
"ButtonsPanel/OW Fleet_ShipElementEmptyLock/Title","Uzamčené místo pro loď"
"ButtonsPanel/OW Fleet_ShipElementEmptyLock/BulletPoints","Toto míst pro loď je uzamčené
Potřebujete flotilový perk_ pro jeho odemčení"
"ButtonsPanel/Port Clan Warehouse/Title","Klanové skladiště"
"ButtonsPanel/Port Clan Warehouse/BulletPoints","Klanové skladiště"
"ButtonsPanel/Port Warehouse/Title","Skladiště"
"ButtonsPanel/Port Warehouse/BulletPoints","Skladiště
**Press ALT + Left click on item to move it to Nákladový prostor of the main ship"
"ButtonsPanel/Port Hold/Title","Nákladový prostor"
"ButtonsPanel/Port Hold/BulletPoints","Spravovat náklad
Zkontrolovat nákladový prostor
Zmáčkněte ALT + levý klik pro přesun položky do skladiště"
"ButtonsPanel/Port Equipment/Title","Vybavení"
"ButtonsPanel/Port Equipment/BulletPoints","Spravovat loď
Statistiky lodi"
"ButtonsPanel/Port Repair/Title","Opravy"
"ButtonsPanel/Port Repair/BulletPoints","Opravit loď"
"ButtonsPanel/Port Shop/Title","Obchod"
"ButtonsPanel/Port Shop/BulletPoints","Herní obchod
Spravovat kontrakty"
"ButtonsPanel/Port Ships Auction/Title","Aukce lodí"
"ButtonsPanel/Port Ships Auction/BulletPoints","Vystavit loď k prodeji"
"ButtonsPanel/Port Craft/Title","Výroba"
"ButtonsPanel/Port Craft/BulletPoints","Výroba"
"ButtonsPanel/Port Admiralty/Title","Admiralty"
"ButtonsPanel/Port Admiralty/BulletPoints","Admiralty shop"
"ButtonsPanel/Port Leaderboards/Title","Žebřícky"
"ButtonsPanel/Port Leaderboards/BulletPoints","Národní žebříčky
Regentův žebříček
Klanové žebříčky"
"ButtonsPanel/Port Navy/Title","Loďstvo"
"ButtonsPanel/Port Navy/BulletPoints","Spravovat loď
Doplnit posádku
Spravovat základnu
Dát lo%d k prodeji"
"ButtonsPanel/Port Fleet Window/Title","Flotila"
"ButtonsPanel/Port Fleet Window/BulletPoints","Informace o hráči a flotile
Spravovat flotilu
Opravit lodě
Obnovit posádku
Zobrazit kapitánovu truhlu a odměny"
"ButtonsPanel/Port Economy/Title","Budovy a výroba"
"ButtonsPanel/Port Economy/BulletPoints","Přístup k výrobě
Spravovat výrobní budovy
Spravovat základny"
"ButtonsPanel/Port Quests/Title","Přístavní úkoly"
"ButtonsPanel/Port Quests/BulletPoints","Spravovat mise, operace a události"
"ButtonsPanel/Port Chat/Title","Hospoda"
"ButtonsPanel/Port Chat/BulletPoints","Chatouvat s hráči 
Spravovat klan
Poslat zprávu"
"ButtonsPanel/Port Map/Title","Mapa"
"ButtonsPanel/Port Map/BulletPoints","Otevřít mapu
Zobrazit události, mise a vraky"
"ButtonsPanel/Port Flags/Title","Vlajky"
"ButtonsPanel/Port Flags/BulletPoints","Vaše vlajky"
"ButtonsPanel/Port Redeemables/Title","**Redeemables"
"ButtonsPanel/Port Redeemables/BulletPoints","Odměny. dárky a DLC"
"ButtonsPanel/Port Settings/Title","Nastavení"
"ButtonsPanel/Port Settings/BulletPoints","Nastavení
Tutoriál
Opustit hru"
"ButtonsPanel/Port Crew Management/Title","Správa posádky"
"ButtonsPanel/Port Crew Management/BulletPoints","Spravovat posádku"
"ButtonsPanel/Port Outposts/Title","Základny"
"ButtonsPanel/Port Outposts/BulletPoints","Spravovat základny
**Can build outposts only in not enemy ports"
"ButtonsPanel/Port Perks/Title","**Perks"
"ButtonsPanel/Port Perks/BulletPoints","**Manage Perks"
"ButtonsPanel/Port Chest/Title","Vylepšení"
"ButtonsPanel/Port Chest/BulletPoints","Truhla na vylepšení"
"ButtonsPanel/Port Reward/Title","Peníze"
"ButtonsPanel/Port Reward/BulletPoints","Peníze a papíry_"
"ButtonsPanel/Port Crew Warning/Title","Varování: posádka"
"ButtonsPanel/Port Crew Warning/BulletPoints","Loď nemá dostatek posádky"
"ButtonsPanel/Port Guns Warning/Title","Varování: děla"
"ButtonsPanel/Port Guns Warning/BulletPoints","Loď nemá žádná děla"
"ButtonsPanel/Port Overweight Warning/Title","Varování: přetížení"
"ButtonsPanel/Port Overweight Warning/BulletPoints","Loď je přetížená"
"ButtonsPanel/Port Repairs Warning/Title","Varování: opravy"
"ButtonsPanel/Port Repairs Warning/BulletPoints","Nemáte žádné opravy"
"ButtonsPanel/Port Ship Damaged Warning/Title","Varování: poškozená loď"
"ButtonsPanel/Port Ship Damaged Warning/BulletPoints","Hlavní loď nebo loď z flotily je poškozená"
"ButtonsPanel/OW Quests/Title","Deník"
"ButtonsPanel/OW Quests/BulletPoints","Deník se seznamem aktivních misí"
"ButtonsPanel/OW Overload Warning/Title","Varování: přetížení."
"ButtonsPanel/OW Overload Warning/BulletPoints","Jedna z lodí je přetížená
Rychlost je snížená"
"ButtonsPanel/Port Clan Warehouse Refresh/Title","Obnovit skladiště"
"ButtonsPanel/Port Clan Warehouse Refresh/BulletPoints","Obnovit skladiště"
"ButtonsPanel/Port Build Outpost/Title","Postavit základnu"
"ButtonsPanel/Port Build Outpost/BulletPoints","Můžete postavit základnu v tomto přístavu"
"ButtonsPanel/Port Buy Permit/Title","Koupit stavební povolení"
"ButtonsPanel/Port Buy Permit/BulletPoints","Koupit povolení ke stavbě základny"
"ButtonsPanel/Port To Auction/Title","Aukce"
"ButtonsPanel/Port To Auction/BulletPoints","Dát loď k prodeji do aukce"
"ButtonsPanel/Port Sell Ship/Title","Prodat"
"ButtonsPanel/Port Sell Ship/BulletPoints","Prodat loď"
"ButtonsPanel/Port Break Up Ship/Title","Rozebrat"
"ButtonsPanel/Port Break Up Ship/BulletPoints","Rozebrat loď a získat trochu stavebních suroviny"
"Building/Description/434","**Buildings required for extraction and coking of coal. It includes mines, coke oven and workshops for coke production"
"Building/Description/967","Buildings required for cultivation and processing of cotton. It includes plantations amd textile workshops used for cotton processing"
"Building/Description/622","Buildings required for production of provisions for sea travels. Includes fish workshops, livestock farms and mills"
"Building/Description/449","A fir forestry, sawmills and carpentry workshops required for production of spars. Some trees have a suitable shape for knees used to strengthen gun decks"
"Building/Description/456","A specialized facility used for production of guns"
"Building/Description/437","Buildings required for cultivation and processing of hemp. It includes plantations and textile workshops required for hemp processing"
"Building/Description/438","Buildings required for extraction and melting of iron ore. It includes mines, blast furnace and workshops that produce iron ingots and other items"
"Building/Description/451","A lingum vitae forestry, sawmills and carpentry workshops required for production of rigging parts of increased strength"
"Building/Description/453","An oak forestry, sawmills and carpentry workshops required for production of hull. Some trees have a suitable shape for knees used to strengthen gun decks"
"Building/Description/439","A specialized facility used for construction of ships"
